name,company,client,location,coords,title,role,tags,year,description,category
Frey Pump Station Model,KLH Engineers,Moon Township Municipal Authority,"Moon Township, PA",,Project Engineer,Developer,ArcGIS Desktop; InfoSWMM; SSOAP; Flow Monitoring; Pump Station,2014,The Moon Township Municipal Authority was experiencing flooding near one of its pump stations where the flows were not being conveyed to the pump station. I coordinated flow monitoring around the pump station and created an H&H model to identify the problem areas in the system and make recommendations in order to convey storm flows to the pump station without overflows.,Hydrologic & Hydraulic Modeling
GIS Mapbook Reproduction,KLH Engineers,Shaler Municipal Authority,"Shaler, PA",,Project Engineer,Developer,ArcGIS Desktop; GIS,2014,"Shaler Municipal Authority was in possession of paper mapbooks of their sewer collection system that were used by their office and by field crews. Although they also had some of the GIS used to create these paper mapbooks, they were not able to print more when needed. To assist them, I obtained a page of their mapbook and built a one-to-one recreation that included some requested modifications including color coded pipe sizes. The deliverable was several sets of bound and laminated map books that their field crews could use to identify locations and connectivity of their system.",GIS
Mt. Lebanon Painter's Run Hydraulic Models,KLH Engineers,Gateway Engineers,"Greentree, PA",,Project Engineer,,ArcGIS Desktop; InfoSWMM; SSOAP; Hydraulics,2014,Gateway Engineers proposed a new sewer alignment and profile in Mt. Lebanon to decrease flooding issues. There was concern that increasing capacity of upstream segments would lead to flooding issues along main arteries further down the conveyance system. I processed flow data and integrated it into H&H models to show how the hydraulic profile and capacity of the system changed with several different modifications to the alignment. A report made recommendations concerning the proposed construction.,Hydrologic & Hydraulic Modeling
Peters DC Sewer Interceptor Model Validation,KLH Engineers,Peters Township Municipal Authority,"Peters Township, PA",,Project Engineer,Task Lead,ArcGIS Desktop; InfoSWMM; SSOAP,2014,"The Authority's previous engineer had completed an H&H model of the two main interceptors tributary to one of the wastewater treatment plants. After additional survey data collection, I corrected errors in the model and modeled possible scenarios for system augmentation including upsizing of sewers and bolting of manholes to prevent blowouts.",Hydrologic & Hydraulic Modeling
Stoops Ferry Model,KLH Engineers,Moon Township Municipal Authority,"Moon Township, PA",,Project Engineer,Contributor,ArcGIS Desktop; InfoSWMM; SSOAP; GIS; Pump Station; Calibration,2014,"The Moon Township Municipal Authority requested assistance to quantify flooding and overflows at a pump station, capacity issues and sizing and locating potential equalization basins. Using the Authority's existing GIS information and scanned drawings, I constructed a H&H model and calibrated to existing flow data that needed to be processed. The deliverable was a presentation showing the calibration of the model and identification of potential causes of flooding along with recommendations for upsizing and relining of pipes and potential equalization basin locations.",Hydrologic & Hydraulic Modeling
Youghiogheny WWTP Process Lift Station Model,KLH Engineers,North Huntingdon Township Municipal Authority,"North Huntingdon, PA",,Project Engineer,Contributor,ArcGIS Desktop; InfoSWMM; SSOAP; SWMM; Flow Monitoring; Pump Station,2014,"NHTMA was preparing to upgrade several pump stations and wanted to study the process lift station at the WWTP to determine if upsizing was needed to prevent flooding that was occurring in one of their main interceptors. Using previous flow monitoring data, I constructed an InfoSWMM model and calibrated it to be able to predict flows for large storms and future growth. This included modeling multiple pump stations and a large basin. I was able to recommend locations for additional flow monitoring to increase the usefulness of the model.",Hydrologic & Hydraulic Modeling
Act 537 Maps using Python,KLH Engineers,"KLH Engineers, Inc.","Robinson Township, PA",,Project Engineer,Developer,ArcGIS Desktop; Python; ArcGIS; GIS,2013,"As a requirement of PA Act 537, several exhibits needed to be created regularly for submission to the PA DEP. These exhibits included data such as soil information and floodplain locations. In order to reduce the tediousness of assembling these exhibits, I programmed a Python script to run inside of ArcGIS to automate the process. To accomplish this, I created statewide datasets of relevant data. The process was reduced from a weeks worth of work for one submission to just a few minutes. The user needed to simply draw an area of interest and fill in some information and in one click, the required PDFs were generated.","GIS, Tool Development"
Aleppo System Map Update,KLH Engineers,Aleppo Township,"Aleppo Township,PA",,Project Engineer,Task Lead,ArcGIS Desktop; GIS; Water Distribution,2013,"I used a combination of paper maps, shapefiles and CAD drawings to create a GIS of the water distribution system for Aleppo to facilitate their asset management.",GIS
Clairton GIS - CCTV Integration,KLH Engineers,Clairton Municipal Authority,"Clairton, PA",,Project Engineer,,ArcGIS Desktop; Wincan; GIS,2013,"The Clairton Municipal Authority contracted with a pipe televising company to produce a city-wide database of pipe inspections of their combined sewer system. The deliverable was a hard drive containing hundreds of gigabytes of photos and video for each pipe in the system. Additionally, the inspections were conducted without a clear agreement of maps to be used to identifying structures and pipes. As a result the Authority had a huge amount of disorganized data that was difficult to access and extract actionable information from. To solve this, I obtained various paper and digital maps that were available and processed them into one GIS with clear and logical naming conventions. I then utilized commercial software to create geolocated features for each pipe defect that was recorded by the contractor. I then linked the CCTV photos and video the the actual inspection locations. The deliverable product was a free to use GIS map that the Authority could use to identify exactly where problems were located in their collection system and then view the inspection video without using additional software.",GIS
Creswell Web GIS Proposal,KLH Engineers,Creswell Heights Joint Authority,"Crescent Tonwhsip, PA",,Project Engineer,Developer,ArcGIS Desktop; ArcGIS Online; GIS; Water Distribution; GPS,2013,"The Authority was interested in better managing their water distribution infrastructure. They currently had to pull paper cards for each meter and valve to be serviced. I took an old water model and some CAD drawings and created a GIS using georeferencing. I then created an interactive online version that would allow anyone to pull up information on any valve, hydrant or meter based on location. We proposed further refining the GIS using GPS and data entry from their paper system.",GIS
Flow Data Processing Script,KLH Engineers,"KLH Engineers, Inc.","Robinson Township, PA",,Project Engineer,Contributor,Excel; VBA; SWMM; SSO; Hydraulics; Calibration,2013,"Flow data is used for the calibration and validation of hydraulic models. This data requires processing to ensure uniformity and to prepare for use in several modeling applications such as SWMM and SSOAP. I wrote Excel VBA code to convert data between 5-,15-, and 60-minute data using averages and then format into various rain depth, flow, head, and velocity time series and to export csv files.","Coding, Tool Development, Hydrologic & Hydraulic Modeling"
Hampton Headworks Model,KLH Engineers,Hampton Township,"Hampton Township, PA",,Project Engineer,Task Lead,EPASWMM; SSOAP,2013,Modeled a short system of sewer entering a WWTP in order to help size the headworks and determine any system issues.,Hydrologic & Hydraulic Modeling
Larimer Model,KLH Engineers,North Huntingdon Township Municipal Authority,"North Huntingdon, PA",,Project Engineer,,ArcGIS Desktop; InfoSWMM; SSOAP,2013,NHTMA needed to model a gravity portion of their system using existing flow data in order to determine what lines needed upsized before the downstream WWTP upgrades were to be completed so that the connection to the wetwell and the capacity of the system was coordinated.,Hydrologic & Hydraulic Modeling
Robinson Run Model,KLH Engineers,South Fayette Municipal Authority,"South Fayette Township, PA",,Project Engineer,,EPASWMM; SSOAP,2013,Helped the South Fayette Municipal Authority to troubleshoot an existing H&H model and determine RTK parameters for their catchment areas which entered a multi municipal interceptor. This helped to keep their share of the maintenance and upgrade costs of the shared system in line with what flow they were actually producing.,Hydrologic & Hydraulic Modeling
Environmental Fluid Mechanics Laboratory,Earth Processes & Environmental Flows Group,Earth Processes & Environmental Flows Group,"Oakland, PA",,Research Assistant,,Flumes; Laser Depth Gauge; Sketchup; Vectrino,2012,"Planned and coordinated a new Environmental Fluid Mechanics Laboratory that included four large flumes and several small exhibits. I worked with several other members of the research group to rehabilitate an old flume that was previously in storage. We also worked on building an intermediate sized flume and planned and constructed a small flume including channel design, plumbing, pump selection,electrical coordination, and a sediment collection system.","Research, Construction, Hydrologic & Hydraulic Modeling"
Tipon Channel Physical Model,Independent,University of Pittsburgh,"Oakland, PA",,Graduate Student,Developer,Flumes; Sketchup; Hydraulics,2012,"The Tipon channels in Peru demonstrate an understanding of hydraulic principles by the Inca civilization. Irrigation channels were built to convey water down steep gradients without allowing flows to transition from supercritical to subcritical flow. When that transition occurs, hydraulic jumps can be found. Understanding and managing this transition can reduce hydraulic jumps and reduce damage to your channel. As part of a group, I helped to build a computer model of a channel that achieved the same effect and then I planned and built a flume that let us compare the effect of energy dissipation from different surface roughnesses.","Research, Construction, Hydrologic & Hydraulic Modeling"
Tree Roots and Shear Stress Investigation,Earth Processes & Environmental Flows Group,University of Pittsburgh,"Oakland, PA",,Graduate Student,Contributor,Geomagic; LIDAR; Meshlab; TecPlot; Hydraulics,2012,"Stream channel development in forested areas is profoundly influenced by large organic debris with enters the stream after erosion during high flow events. While it is well documented that increased density of roots in stream banks can increase the strength of the bank, the hydraulic process that arise from rootwads along stream banks is less well understood. This project sought to better understand the effect on shear stress that complicated flow cross sections present. To study this, LIDAR scanning of streambanks and modeling of flows around rootwads was conducted.","Research, Field Work, Hydrologic & Hydraulic Modeling"
Civil Department Webmaster,University of Pittsburgh,University of Pittsburgh,"Oakland, PA",,Undergraduate Student,,HTML; SSO,2011,"Worked with faculty to maintain the entire Civil & Environmental Engineering webpage including keeping forms up to date, adding new web pages and helping professors update their personal pages.",Coding
Pool-Riffle Shear Stress Models,Independent,University of Pittsburgh,"Oakland, PA",,Undergraduate Student,Contributor,C++; HEC-RAS; River 2D,2011,"Pool-Riffle stream structures can be found in nature and can demonstrate self-maintaining qualities by alternating high and low flows and then reversing flow regimes during high flow events. Modeling of these structures is typically done using one-dimensional models such as HEC-RAS. However, the reversal mechanism may not be found when a two-dimensional model is used. I compared a HEC-RAS and River2D model for several geometries and flow regimes to demonstrate the need to model these structures using more complex models. This paper was recognized at the 2011 World Environmental & Water Resources Congress for coming in 1st place for the student competition.","Research, Hydrologic & Hydraulic Modeling"
Allegheny National Forest Gas Survey,National Energy Technology Lab,N.E.T.L.,"Pittsburgh, PA",-79.9959; 40.4406,Intern,,ArcGIS Desktop; ArcPad; Leak Detection System,2009,"NETL was to deploy a new mobile air quality monitoring trailer. Testing of this trailer was proposed to be in the Allegheny National Forest which is dense with oil and gas wells. Utilizing a Leak Detection System, the team planned an efficient route to drive throughout and around the forest to detect methane and hydrocarbons from leaking wells. We identified several areas with significant levels of methane detected and presented our findings to staff.","Research, GIS, Field Work"
Duquesne and Dravosburg Long-Term Control Plan,KLH Engineers,McKeesport Municipal Authority,"McKeesport, PA",,Project Engineer,Lead Engineer,Flow Monitoring; LTCP; Regulator Investigation; SWMM,,Led flow monitoring and SWMM modeling for LTCP capacity/alternatives analysis; selected 12 flow monitor locations using mapping and field investigation of regulator structures; managed data collection/quality and calibrated to the minimum effective monitoring span to control costs,
Frey Pump Station Investigation,KLH Engineers,Moon Township Municipal Authority,"Moon Township, PA",,Project Engineer,Engineer,Flow Monitoring; Pump Station; QA/QC; SWMM,,"Performed on-site flow monitoring siting to address pump station flooding in a complex sewer system; sited six monitors, iterated locations as data arrived, and provided QA/QC to support pump station upgrade analysis; supported SWMM modeling to evaluate flood-alleviation alternatives",
GIS Development and Implementation,Wade Trim,Water District No. 1 Midland County,"Sanford, MI",,Professional Engineer,Senior GIS Technology Advisor,Field Maps; GNSS; GPS; QA/QC; Schema; ArcGIS; GIS,,"Supported transformation of GPS survey data, resolved quality issues, and ensured accurate GNSS receiver integration with ArcGIS Field Maps and a well-organized schema; performed QA/QC on field-collected data and supported web map projection setup for reliable workflows",
GIS Professional Services,Wade Trim,County of Kane,"St. Charles, IL",,Professional Engineer,GIS Technical Support,Batch Processing; Python; Raster; Vector; Watershed Delineation; GIS; LTS,,"Evaluated and troubleshot watershed-scale processing scripts (including migration to an alternate platform for testing and reliability); executed/monitored large watershed runs, resolved failures, and produced county-scale watershed delineations and statistics using Python raster/vector workflows; merged results and delivered processed datasets for analysis",
GIS System Migration and Integration,Wade Trim,Municipality of Bethel Park,"Bethel Park, PA",,Professional Engineer,GIS Technical Advisor,ArcGIS Online; Data Migration; Field Maps; QA/QC; Web Mapping; GIS; Stormwater; Sanitary Sewer,,"Advised on GIS modernization planning; standardized and validated sanitary, stormwater, and planning datasets into a single source of truth; migrated data to online platforms and built web mapping/mobile applications; enabled integration of inspection & maintenance data and trained staff",
Interceptor H&H Modeling and Calibration,KLH Engineers,Canonsburg-Houston Joint Authority,"Canonsburg, PA",,Senior Project Engineer,Engineer,Calibration; Flow Monitoring; Interceptors; Pump Stations; SWMM; Hydraulics,,"Reconfigured and calibrated interceptor and pump-station hydraulics (Chartiers and Brush Run Interceptors); assembled hydraulic profiles from record drawings, survey, and field investigations; processed data from 20 meters to calibrate and allocate sewer flows by community",
Recalibration of Flow Monitors and Model Review Support,Wade Trim,Metropolitan Sewer District of Greater Cincinnati (MSDGC),"Cincinnati, OH",-84.5120; 39.1031,Professional Engineer,Engineer,Calibration; Flow Monitoring; Model Review; RDII; SWMM; LTS; Sanitary Sewer,,Supported SWMM calibration at multiple sanitary flow monitor locations; developed custom tools to allocate RDII and produced calibration results and report; performed model reviews of other consultant submissions under a model review support contract,
Sanitary Sewer GIS Data Consolidation,Wade Trim,Mon Valley Sewage Authority,"Donora, PA",,Professional Engineer,GIS Team Lead,Data Consolidation; Domains; Field Maps; Utility Schema; Web Apps; GIS; Sanitary Sewer,,Led consolidation of disparate GIS sources and paper mapping into a single authoritative sanitary sewer asset dataset; oversaw quality control and resolution of technical obstacles; delivered a standardized utility database with customized domains and improved web/Field Maps workflows,
Statewide PA 116 Parcels Synchronization,Wade Trim,Michigan Department of Transportation (MDOT),Michigan,,Professional Engineer,QA/QC Lead & Technical Advisor,Data Migration; Parcel Data; QA/QC; Trunkline Corridors; GIS,,"Provided QA/QC oversight, technical guidance, and strategic direction for statewide synchronization of PA 116 parcels with MDOT trunkline corridor data; advised on migration methods, troubleshot GIS workflows, coordinated with stakeholders, and supported spatial/attribute review aligned with MDARDâ€™s database",
Water Distribution Model Upgrade and GIS Sync,KLH Engineers,Moon Township Municipal Authority,"Moon Township, PA",,Senior Project Engineer,Project Engineer,GIS Integration; Hydrant Testing; InfoWater Pro; WaterCAD; GIS; Water Distribution,,"Upgraded an existing WaterCAD model to an InfoWater Pro distribution model (including tank sites, treatment plant, and system interconnects); calibrated using system testing and established a two-way sync with the managed GIS system of record to keep GIS/model updates aligned",
Water Distribution Model and GIS Update,KLH Engineers,Authority of the Borough of Charleroi,"Charleroi, PA",,Senior Project Engineer,Engineer,Alternatives Analysis; GIS Migration; Hydraulic Modeling; Web GIS; GIS; Water Distribution,,Integrated system updates into the Authorityâ€™s water distribution model and supported alternatives analysis for upgrades/added services; organized and migrated water service GIS assets to a web-based platform to improve field productivity,
Water System Consolidation Plan Modeling Support,KLH Engineers,Erie Water Works,"Erie, PA",,Senior Project Engineer,Engineer,Hydraulic Modeling; Master Planning; Pump Stations; Storage Tanks; Pump Station; Hydraulics,,Updated the city-wide hydraulic model to incorporate assets acquired from a neighboring authority (including additional pump stations and storage tanks); resolved data challenges and stabilized the model for use in master planning,
Water System Master Plan Modeling,KLH Engineers,Municipal Authority of the Township of Richland,"Richland Township, PA",,Senior Project Engineer,Engineer,Hydrant Testing; InfoWater; Master Plan; Roughness Calibration; WaterCAD; InfoWater Pro; GIS; Calibration,,Updated an existing WaterCAD model to a GIS-based InfoWater model and incorporated new development; completed calibration using hydrant flow testing for pressure points and pipe roughness; performed hydrant-flow analysis and supported master plan updates,
Metro Sewer District of Cincinnati - Calibration Reviews,Wade Trim,Metro Sewer District of Cincinnati,,,,,Calibration; Hydraulic Modeling; MSDGC,2021,"Work for Metro Sewer District of Cincinnati included calibration Reviews. Additional tasks included 2020 Model Assessment, tsf tool. Key focus areas: Calibration, Hydraulic Modeling, MSDGC.",Hydrologic & Hydraulic Modeling
Alts SOI Gate,Wade Trim,NEOSD,,,,,Calibration; Gates/Controls; Hydraulic Modeling; NEORSD,2021,"Work for NEOSD included alts SOI Gate. Additional tasks included Pulling HGLs and Hydrographs from model runs. Key focus areas: Calibration, Gates/Controls, Hydraulic Modeling, NEORSD.",Hydrologic & Hydraulic Modeling
Bethel Park GIS Work,Wade Trim,Bethel Park,,,,,GIS; Bethel Park,2024,"Work for Bethel Park included Call with Lou for WinCan integration, getting GIS connected and authoring new CCTV inspection layers. Key focus areas: GIS, Bethel Park.",GIS
T2 44 Valve Project,Wade Trim,GLWA,,,,,Water Distribution; Hydraulic Modeling; GLWA,2025,"Work for GLWA included t2 44 Valve Project. Additional tasks included Discussing valve hydraulic options with Kyle, meeting on valve considerations and head loss calcs. Key focus areas: Water Distribution, Hydraulic Modeling, GLWA.",Hydrologic & Hydraulic Modeling
South Beaches,Wade Trim,Brevard County Utilities,,,,,Pumps/Storage; Hydraulic Modeling; Brevard County,2024,"Work for Brevard County Utilities included south Beaches. Additional tasks included reviewing pump curve model updates. Key focus areas: Pumps/Storage, Hydraulic Modeling, Brevard County.",Hydrologic & Hydraulic Modeling
NPDES Modification,"KLH Engineers, Inc.",Union Electric Steel,,,,,Permitting,2016,Work for Union Electric Steel included nPDES Modification. Additional tasks included Looking for NPDES submission. Key focus areas: Permitting.,"Hydrologic & Hydraulic Modeling, Permitting"
Cokeburg - Misc,"KLH Engineers, Inc.",Cokeburg,,,,,HEC-RAS; Spillway/Dam; Hydraulic Modeling; Land Development,2017,"Work for Cokeburg included Determining slope, velocities for spillway, grading in spillway with Max. Key focus areas: HEC-RAS, Spillway/Dam, Hydraulic Modeling, Land Development.","Land Development, Permitting"
Site Plan,"KLH Engineers, Inc.",Fairfield Southpointe,,,,,Hydraulic Modeling; Land Development,2016,"Work for Fairfield Southpointe included site Plan. Additional tasks included Checking Hydraulic Calcs. Key focus areas: Hydraulic Modeling, Land Development.","Land Development, Permitting"
Jackson Pointe Phase 3 & 4,"KLH Engineers, Inc.",The Buncher Company,,,,,Land Development,2016,"Work for The Buncher Company included jackson Pointe Phase 3 & 4. Additional tasks included Looking at Pipe Capacities, Stream Cross Sections. Key focus areas: Land Development.","Land Development, Permitting"
Project Work,,,,,,,Calibration; Pumps/Storage; Hydraulic Modeling,2018,"Work included Adjusting model to fit real world descriptions, recalibrating, sizing pumps. Key focus areas: Calibration, Pumps/Storage, Hydraulic Modeling.",Hydrologic & Hydraulic Modeling
Project Work,,,,,,,Pumps/Storage; Water Distribution; Hydraulic Modeling; EQT,2018,"Work included Charleroi Reservoir take model pressures, discussing with Shawn. Key focus areas: Pumps/Storage, Water Distribution, Hydraulic Modeling, EQT.",Hydrologic & Hydraulic Modeling
Rostraver Map,"KLH Engineers, Inc.",Rostraver Township Sewage Authority,,,,,GIS; Pumps/Storage,2014,"Work for Rostraver Township Sewage Authority included rostraver Map. Additional tasks included Updating pump stations in GIS, adding search. Key focus areas: GIS, Pumps/Storage.",GIS
3D Model,"Civil & Environmental Consultants, Inc.","ESC Brooke County Power I, LLC",,,,,Hydraulic Modeling,2016,"Work for ESC Brooke County Power , LLC included 3D Model. Additional tasks included Model changes to work with infraworks on iPad. Key focus areas: Hydraulic Modeling.",Hydrologic & Hydraulic Modeling
Hillcrest,"Civil & Environmental Consultants, Inc.","RDL Architects, Inc.",,,,,,2015,"Work for RDL Architects, Inc. included hillcrest. Additional tasks included Watching video and drawing alignments.",
Drury Hotel,"Civil & Environmental Consultants, Inc.",Drury Southwest Inc.,,,,,GIS; Land Development,2015,"Work for Drury Southwest Inc. included drury Hotel. Additional tasks included Splitting Cost estimate into Phases, checking quantities and earthwork, discussing with Dennis. Key focus areas: GIS, Land Development.","Land Development, Permitting"
Abele Business Park,"Civil & Environmental Consultants, Inc.",Burns & Scalo Real Estate Services,,,,,Land Development,2015,Work for Burns & Scalo Real Estate Services included abele Business Park. Additional tasks included Discussing grading (task 2). Key focus areas: Land Development.,"Land Development, Permitting"
Rivers Casino Hotel - Site Development,"Civil & Environmental Consultants, Inc.",VOA Associates Incorporated,,,,,Land Development,2015,Work for VOA Associates Incorporated included rivers Casino Hotel - Site Development. Additional tasks included Pre-Development Application. Key focus areas: Land Development.,"Land Development, Permitting"
Project Work,,,,,,,GIS; Greensburg/GGSA,2020,"Work included GGSA GIS recommendation, getting quote. Key focus areas: GIS, Greensburg/GGSA.",GIS
